Account Name,Street Address,City,State,Country,Domain,Salesforce Account ID,Segment,2H REP,2H ISR,2H DISTRICT,DM QCV Owner,STID,DISTRICT,GEN FSR,GEN ISR,DM Roster,INDUSTRY VERTICAL,INDUSTRY SEGMENT
ABERCROMBIE & FITCH CO,,NEW ALBANY,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,354562,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Mfg & Dist:4,Retail
ADIENT US LLC,,HOLLAND,Michigan,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,601890257,NEW BUSINESS,"LANGMACK,TAMARA","BROWN,RENEE",WHITFIELD KARA,Mfg & Dist:4,Automotive
ALLY FINANCIAL INC,,DETROIT,Michigan,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,356527,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Mfg & Dist:4,Wholesale Trade
AMERICAN HUTS INC,,FAIRFIELD,New Jersey,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,356930,MID ATLANTIC,"ARDIZONE,TOM","LOERA,SANDRA",WHITFIELD KARA,Mfg & Dist:4,Retail
ANTHEM INC,,INDIANAPOLIS,Indiana,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,102256,MID ATLANTIC,"ARDIZONE,TOM","LOERA,SANDRA",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Payers
ASHLAND INC,,COVINGTON,Kentucky,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,57210,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Mfg & Dist:4,Process Manufacturing
BERRY PLASTICS GROUP INC,,EVANSVILLE,Indiana,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,59194,NY METRO,"SCHWAM,JACOB","GASPAR,MAGGIE",WHITFIELD KARA,Other Industries:5,Real Estate
BIG LOTS INC,,COLUMBUS,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,59770,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Mfg & Dist:4,Retail
BOB EVANS FARMS INC,,COLUMBUS,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,59868,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Mfg & Dist:4,Retail
BORGWARNER INC,,AUBURN HILLS,Michigan,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,60663,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Mfg & Dist:4,Automotive
BRONSON HEALTH CARE GROUP INC,,KALAMAZOO,Michigan,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,59844,MID ATLANTIC,"MADIS,PHIL","EVERHEART,TERESA",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
CENTURY INTERMEDIATE HOLDING COMPANY- US,,CLEVELAND,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,356766,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Mfg & Dist:4,Discrete - Media & Ent.
CEP INC,,Grand Rapids,Michigan,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,855330,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Mfg & Dist:4,Wholesale Trade
CONVERGYS CORPORATION,,CINCINNATI,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,65633,MID ATLANTIC,"COPLEN,GINA","BRESACH,DANIEL",WHITFIELD KARA,Mfg & Dist:4,Wholesale Trade
COOPER TIRE & RUBBER COMPANY INC,,FINDLAY,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,65396,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Mfg & Dist:4,Automotive
COOPER-STANDARD HOLDINGS INC,,NOVI,Michigan,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,65541,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Mfg & Dist:4,Process Manufacturing
DELTA DENTAL OF KENTUCKY INC,,LOUISVILLE,Kentucky,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,67732,WEST,"MAKI,JENNA","LACERENZA,MITCHELL",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Payers
DENSO INTERNATIONAL AMERICA INC,,SOUTHFIELD,Michigan,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,67816,SOUTH CENTRAL,"LAU,DUSTIN","BABER,KAT",WHITFIELD KARA,Mfg & Dist:4,Automotive
DIEBOLD INCORPORATED,,NORTH CANTON,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,68932,MID ATLANTIC,"HAMILTON,STEPHEN","CARTER,DINA",WHITFIELD KARA,Mfg & Dist:4,High Tech/Electronics
